account_id,age-group
5524,Mature
2174,Mature
4141,Mature
6182,Young
5324,Adult
7446,Mature
965,Adult
6177,Young
4855,Adult
5899,Mature
387,Adult
2125,Mature
8180,Mature
2569,Young
2114,Senior
9736,Adult
4939,Senior
6565,Mature
2278,Young
9360,Adult
5376,Adult
1993,Mature
4047,Mature
1409,Mature
7892,Adult
2404,Adult
9422,Young
1966,Mature
6864,Young
3033,Mature
5710,Adult
7373,Mature
8755,Senior
10738,Mature
4339,Adult
10755,Adult
8595,Adult
2968,Senior
8601,Adult
503,Young
8430,Mature
2139,Adult
1371,Adult
9909,Young
7286,Mature
6566,Mature
8614,Mature
4114,Mature
1331,Adult
2225,Adult
9381,Adult
6260,Mature
10383,Mature
7437,Young
8375,Mature
6853,Adult
3076,Adult
1012,Mature
6518,Mature
4137,Senior
8082,Adult
1386,Mature
9369,Adult
4477,Mature
1357,Adult
1402,Mature
6312,Mature
8132,Adult
1050,Mature
5846,Adult
1859,Adult
7503,Adult
10401,Adult
1618,Mature
3332,Young
2261,Adult
5346,Adult
4119,Mature
535,Young
5268,Mature
273,Adult
4452,Mature
8504,Adult
771,Mature
11178,Adult
2230,Adult
7516,Adult
7247,Mature
11100,Adult
4646,Mature
3037,Adult
1473,Mature
1016,Mature
4518,Adult
9370,Senior
8908,Mature
8373,Adult
7533,Mature
2683,Adult
3629,Adult
10991,Mature
5077,Adult
7431,Young
3267,Mature
999,Young
9215,Adult
2286,Mature
1592,Adult
367,Adult
5234,Mature
9862,Adult
9805,Mature
6205,Mature
8442,Young
7386,Adult
7215,Adult
1491,Mature
11071,Young
3381,Mature
11051,Mature
8026,Mature
433,Mature
9597,Adult
5290,Mature
1685,Mature
5342,Adult
9579,Mature
7660,Adult
1461,Mature
821,Young
11084,Adult
8690,Mature
2937,Adult
9701,Young
9949,Adult
10837,Adult
3120,Adult
5885,Adult
4050,Mature
3830,Mature
7987,Adult
7798,Adult
92,Young
7055,Mature
10240,Mature
3025,Mature
9283,Adult
9970,Adult
2730,Mature
2795,Mature
9260,Senior
8182,Young
10095,Adult
8475,Adult
4370,Mature
10573,Mature
3712,Mature
6637,Young
3152,Mature
5610,Mature
6460,Adult
1349,Adult
1880,Mature
641,Mature
8717,Adult
10314,Senior
10854,Adult
10492,Mature
6935,Mature
7698,Adult
3559,Young
10562,Senior
10796,Young
2563,Mature
3518,Adult
5823,Adult
3934,Mature
6982,Adult
6431,Mature
9733,Adult
5602,Young
7829,Senior
1324,Young
326,Adult
7224,Adult
6999,Adult
9938,Mature
6422,Mature
3182,Adult
7300,Mature
10424,Mature
8727,Adult
2798,Adult
1030,Mature
624,Young
5176,Young
5552,Mature
868,Mature
380,Mature
2677,Mature
6521,Mature
6927,Mature
2877,Adult
0,Young
1584,Adult
7264,Adult
6274,Senior
1377,Mature
454,Adult
1755,Young
2075,Adult
4785,Adult
9076,Adult
7079,Mature
4653,Adult
7375,Adult
709,Mature
460,Adult
3726,Young
6798,Mature
5341,Mature
1606,Adult
9617,Mature
3233,Mature
89,Adult
2936,Adult
9449,Mature
7297,Adult
11004,
313,Mature
9940,Mature
10735,Adult
9529,Young
6439,Mature
7411,Mature
2176,Adult
9265,Mature
8867,Young
