account_id,children
5524,No child
2174,2 children
4141,No child
6182,1 child
5324,1 child
7446,1 child
965,1 child
6177,1 child
4855,1 child
5899,2 children
387,No child
2125,No child
8180,2 children
2569,No child
2114,No child
9736,2 children
4939,No child
6565,1 child
2278,1 child
9360,No child
5376,1 child
1993,1 child
4047,1 child
1409,1 child
7892,No child
2404,2 children
9422,1 child
1966,No child
6864,No child
3033,No child
5710,1 child
7373,2 children
8755,No child
10738,2 children
4339,1 child
10755,1 child
8595,1 child
2968,No child
8601,1 child
503,1 child
8430,1 child
2139,1 child
1371,No child
9909,No child
7286,1 child
6566,2 children
8614,1 child
4114,No child
1331,1 child
2225,No child
9381,2 children
6260,No child
10383,No child
7437,1 child
8375,1 child
6853,No child
3076,2 children
1012,1 child
6518,1 child
4137,No child
8082,1 child
1386,2 children
9369,1 child
4477,1 child
1357,3 children
1402,No child
6312,1 child
8132,2 children
1050,No child
5846,1 child
1859,No child
7503,No child
10401,No child
1618,No child
3332,1 child
2261,1 child
5346,1 child
4119,No child
535,No child
5268,2 children
273,2 children
4452,1 child
8504,No child
771,1 child
11178,1 child
2230,1 child
7516,1 child
7247,1 child
11100,2 children
4646,No child
3037,No child
1473,1 child
1016,1 child
4518,1 child
9370,No child
8908,No child
8373,1 child
7533,2 children
2683,2 children
3629,1 child
10991,No child
5077,1 child
7431,No child
3267,1 child
999,No child
9215,1 child
2286,2 children
1592,No child
367,1 child
5234,2 children
9862,1 child
9805,1 child
6205,1 child
8442,2 children
7386,1 child
7215,No child
1491,No child
11071,No child
3381,2 children
11051,2 children
8026,1 child
433,2 children
9597,No child
5290,2 children
1685,No child
5342,1 child
9579,3 children
7660,2 children
1461,2 children
821,No child
11084,1 child
8690,No child
2937,1 child
9701,1 child
9949,2 children
10837,1 child
3120,1 child
5885,3 children
4050,No child
3830,2 children
7987,1 child
7798,1 child
92,1 child
7055,1 child
10240,No child
3025,1 child
9283,3 children
9970,1 child
2730,No child
2795,3 children
9260,No child
8182,1 child
10095,No child
8475,1 child
4370,3 children
10573,No child
3712,No child
6637,No child
3152,2 children
5610,2 children
6460,1 child
1349,2 children
1880,2 children
641,1 child
8717,1 child
10314,No child
10854,2 children
10492,3 children
6935,No child
7698,1 child
3559,1 child
10562,No child
10796,1 child
2563,No child
3518,1 child
5823,1 child
3934,1 child
6982,No child
6431,2 children
9733,1 child
5602,No child
7829,1 child
1324,1 child
326,2 children
7224,2 children
6999,No child
9938,No child
6422,No child
3182,2 children
7300,1 child
10424,No child
8727,1 child
2798,No child
1030,2 children
624,No child
5176,1 child
5552,2 children
868,1 child
380,1 child
2677,1 child
6521,No child
6927,2 children
2877,2 children
0,No child
1584,1 child
7264,3 children
6274,No child
1377,1 child
454,1 child
1755,1 child
2075,No child
4785,2 children
9076,1 child
7079,1 child
4653,1 child
7375,1 child
709,1 child
460,No child
3726,1 child
6798,2 children
5341,1 child
1606,1 child
9617,No child
3233,1 child
89,1 child
2936,1 child
9449,1 child
7297,1 child
11004,1 child
313,No child
9940,1 child
10735,1 child
9529,No child
6439,1 child
7411,2 children
2176,1 child
9265,1 child
8867,No child
8932,1 child
10236,1 child
6340,1 child
10089,No child
2227,No child
10992,2 children
5304,1 child
309,1 child
3406,1 child
2661,2 children
3153,3 children
10264,1 child
1184,2 children
4200,1 child
9396,1 child
2387,2 children
6690,2 children
1225,No child
9703,2 children
291,No child
4557,1 child
2379,No child
5726,1 child
3066,1 child
6336,2 children
10967,2 children
2304,1 child
3445,No child
7828,No child
3762,No child
4391,1 child
4669,1 child
10144,1 child
8652,No child
1672,1 child
8962,2 children
9974,1 child
10983,No child
8148,2 children
10102,No child
4697,No child
9262,No child
7254,1 child
4543,No child
4927,2 children
10451,2 children
2926,1 child
2874,1 child
9738,1 child
7119,No child
3924,1 child
5827,2 children
5596,1 child
10812,1 child
1717,1 child
9491,1 child
9274,No child
6609,No child
6963,No child
4440,1 child
1379,No child
10032,1 child
2826,3 children
6320,No child
3050,2 children
231,2 children
2392,2 children
9478,1 child
113,2 children
1802,1 child
520,1 child
8275,2 children
9750,1 child
2607,1 child
7214,No child
5835,1 child
3896,1 child
10350,3 children
7786,1 child
2861,1 child
663,No child
10675,1 child
2521,1 child
9592,1 child
10151,2 children
7381,No child
4099,1 child
9560,No child
1150,No child
10172,No child
11191,No child
9707,1 child
6245,1 child
8234,1 child
1411,No child
8553,2 children
1826,No child
8842,2 children
11030,1 child
2579,1 child
175,1 child
9185,No child
11056,No child
9365,1 child
6201,2 children
2061,1 child
6184,No child
6142,No child
4107,2 children
7274,No child
9336,1 child
2958,2 children
933,1 child
5837,2 children
10704,1 child
5125,No child
4432,1 child
5955,No child
2928,1 child
5680,1 child
10313,2 children
2557,1 child
1245,1 child
1519,2 children
10703,2 children
1726,No child
4459,1 child
1729,1 child
1517,1 child
2098,2 children
9543,1 child
6878,No child
3310,3 children
2724,1 child
948,1 child
6720,1 child
6202,1 child
2066,1 child
9799,2 children
8318,No child
5642,1 child
2669,No child
455,No child
7683,1 child
3428,No child
7414,2 children
6354,1 child
798,1 child
8213,1 child
2488,2 children
9999,No child
7617,2 children
615,No child
2552,3 children
194,2 children
3645,1 child
8890,2 children
5049,1 child
9973,2 children
7301,1 child
10882,1 child
7030,1 child
7422,1 child
3523,1 child
7106,No child
6504,1 child
5067,No child
4216,No child
8581,2 children
5929,1 child
3129,1 child
6528,1 child
1361,No child
6932,No child
7284,3 children
1340,No child
8746,1 child
5987,1 child
3767,1 child
3725,No child
4324,1 child
238,2 children
6694,1 child
498,1 child
9347,1 child
9699,1 child
10664,1 child
5455,1 child
456,1 child
5012,1 child
7495,1 child
5029,No child
10642,1 child
2106,No child
10364,No child
5954,1 child
1137,No child
2541,1 child
1142,1 child
2276,1 child
2807,1 child
6471,1 child
6131,2 children
6233,1 child
4148,3 children
4947,No child
3225,1 child
7540,1 child
10648,No child
1992,1 child
7851,No child
