account_id,customer-profile
5524,Need attention
2174,Leaky Bucket
4141,Stars
6182,Leaky Bucket
5324,Leaky Bucket
7446,Stars
965,Need attention
6177,High potential
4855,High potential
5899,Leaky Bucket
387,High potential
2125,Stars
8180,Leaky Bucket
2569,High potential
2114,Need attention
9736,High potential
4939,High potential
6565,Need attention
2278,High potential
9360,High potential
5376,High potential
1993,Need attention
4047,Stars
1409,High potential
7892,High potential
2404,High potential
9422,High potential
1966,Stars
6864,Leaky Bucket
3033,High potential
5710,High potential
7373,High potential
8755,Need attention
10738,Leaky Bucket
4339,Stars
10755,Leaky Bucket
8595,Leaky Bucket
2968,Need attention
8601,Need attention
503,High potential
8430,High potential
2139,Leaky Bucket
1371,Stars
9909,High potential
7286,High potential
6566,Need attention
8614,Stars
4114,Need attention
1331,High potential
2225,Stars
9381,Need attention
6260,Need attention
10383,Need attention
7437,Leaky Bucket
8375,Stars
6853,Need attention
3076,Need attention
1012,Need attention
6518,Need attention
4137,Stars
8082,High potential
1386,Leaky Bucket
9369,Stars
4477,Stars
1357,Need attention
1402,Need attention
6312,Need attention
8132,Need attention
1050,Leaky Bucket
5846,High potential
1859,Need attention
7503,Need attention
10401,Leaky Bucket
1618,Need attention
3332,High potential
2261,High potential
5346,High potential
4119,High potential
535,Stars
5268,Leaky Bucket
273,Leaky Bucket
4452,Leaky Bucket
8504,Stars
771,Leaky Bucket
11178,Leaky Bucket
2230,Leaky Bucket
7516,Leaky Bucket
7247,High potential
11100,High potential
4646,Stars
3037,High potential
1473,Leaky Bucket
1016,Leaky Bucket
4518,Need attention
9370,Need attention
8908,Stars
8373,Leaky Bucket
7533,Leaky Bucket
2683,Need attention
3629,High potential
10991,Need attention
5077,Stars
7431,Need attention
3267,Stars
999,Need attention
9215,High potential
2286,Leaky Bucket
1592,Stars
367,High potential
5234,High potential
9862,Leaky Bucket
9805,Need attention
6205,Leaky Bucket
8442,Leaky Bucket
7386,High potential
7215,Need attention
1491,Need attention
11071,Need attention
3381,Leaky Bucket
11051,Stars
8026,Stars
433,Need attention
9597,Stars
5290,Leaky Bucket
1685,Need attention
5342,High potential
9579,High potential
7660,Leaky Bucket
1461,Leaky Bucket
821,Need attention
11084,Stars
8690,Need attention
2937,Stars
9701,High potential
9949,Need attention
10837,High potential
3120,Leaky Bucket
5885,High potential
4050,Leaky Bucket
3830,Stars
7987,Stars
7798,High potential
92,Leaky Bucket
7055,Need attention
10240,Need attention
3025,Leaky Bucket
9283,Leaky Bucket
9970,Leaky Bucket
2730,Stars
2795,High potential
9260,Need attention
8182,Leaky Bucket
10095,Need attention
8475,Stars
4370,Leaky Bucket
10573,Stars
3712,Leaky Bucket
6637,Stars
3152,Leaky Bucket
5610,Leaky Bucket
6460,High potential
1349,Leaky Bucket
1880,Leaky Bucket
641,Leaky Bucket
8717,Need attention
10314,Need attention
10854,Leaky Bucket
10492,Leaky Bucket
6935,Stars
7698,Leaky Bucket
3559,Leaky Bucket
10562,Stars
10796,Leaky Bucket
2563,Leaky Bucket
3518,High potential
5823,Leaky Bucket
3934,Stars
6982,Need attention
6431,High potential
9733,High potential
5602,Need attention
7829,Leaky Bucket
1324,High potential
326,High potential
7224,Leaky Bucket
6999,Stars
9938,Stars
6422,Need attention
3182,Leaky Bucket
7300,Stars
10424,Stars
8727,Stars
2798,Need attention
1030,Leaky Bucket
624,High potential
5176,Leaky Bucket
5552,High potential
868,Leaky Bucket
380,Need attention
2677,High potential
6521,Stars
6927,High potential
2877,High potential
0,Need attention
1584,Leaky Bucket
7264,Leaky Bucket
6274,Stars
1377,Leaky Bucket
454,Need attention
1755,Leaky Bucket
2075,Stars
4785,Stars
9076,High potential
7079,Need attention
4653,High potential
7375,High potential
709,Need attention
460,Need attention
3726,Leaky Bucket
6798,High potential
5341,Need attention
1606,High potential
9617,Leaky Bucket
3233,Need attention
89,Leaky Bucket
2936,Leaky Bucket
9449,Stars
7297,Leaky Bucket
11004,Leaky Bucket
313,Stars
9940,Need attention
10735,Leaky Bucket
9529,Stars
6439,Need attention
7411,Leaky Bucket
2176,Need attention
9265,Need attention
8867,Need attention
8932,Need attention
10236,Leaky Bucket
6340,Leaky Bucket
10089,Need attention
2227,High potential
10992,Need attention
5304,High potential
309,Need attention
3406,High potential
2661,High potential
3153,Leaky Bucket
10264,High potential
1184,Need attention
4200,Leaky Bucket
9396,High potential
2387,High potential
6690,High potential
1225,Stars
9703,High potential
291,Need attention
4557,Leaky Bucket
2379,Need attention
5726,Leaky Bucket
3066,Leaky Bucket
6336,Leaky Bucket
10967,High potential
2304,Stars
3445,Need attention
7828,Stars
3762,Need attention
4391,Need attention
4669,High potential
10144,High potential
8652,High potential
1672,Stars
8962,Leaky Bucket
9974,High potential
10983,Need attention
8148,Need attention
10102,Stars
4697,High potential
9262,High potential
7254,Leaky Bucket
4543,Need attention
4927,Leaky Bucket
10451,High potential
2926,Need attention
2874,High potential
9738,High potential
7119,Need attention
3924,Stars
5827,Leaky Bucket
5596,Stars
10812,Leaky Bucket
1717,Leaky Bucket
9491,Leaky Bucket
9274,Need attention
6609,High potential
6963,Stars
4440,Stars
1379,High potential
10032,Leaky Bucket
2826,Leaky Bucket
6320,Need attention
3050,Leaky Bucket
231,Leaky Bucket
2392,Leaky Bucket
9478,Need attention
113,Leaky Bucket
1802,Need attention
520,High potential
8275,Leaky Bucket
9750,Need attention
2607,High potential
7214,Need attention
5835,High potential
3896,Leaky Bucket
10350,High potential
7786,High potential
2861,High potential
663,Leaky Bucket
10675,Need attention
2521,High potential
