account_id,education
5524,Graduation
2174,Graduation
4141,Graduation
6182,Graduation
5324,PhD
7446,Master
965,Graduation
6177,PhD
4855,PhD
5899,PhD
387,Basic
2125,Graduation
8180,Master
2569,Graduation
2114,PhD
9736,Graduation
4939,Graduation
6565,Master
2278,2n Cycle
9360,Graduation
5376,Graduation
1993,PhD
4047,PhD
1409,Graduation
7892,Graduation
2404,Graduation
9422,Graduation
1966,PhD
6864,Master
3033,Master
5710,Graduation
7373,PhD
8755,Master
10738,Master
4339,PhD
10755,2n Cycle
8595,Graduation
2968,PhD
8601,Graduation
503,Master
8430,Graduation
2139,Master
1371,Graduation
9909,2n Cycle
7286,Graduation
6566,PhD
8614,Graduation
4114,Master
1331,Graduation
2225,Graduation
9381,Graduation
6260,Master
10383,Graduation
7437,Graduation
8375,PhD
6853,Master
3076,Graduation
1012,Graduation
6518,PhD
4137,Graduation
8082,Graduation
1386,Graduation
9369,2n Cycle
4477,Graduation
1357,Graduation
1402,Master
6312,Graduation
8132,PhD
1050,Graduation
5846,Graduation
1859,Master
7503,Graduation
10401,2n Cycle
1618,Graduation
3332,Graduation
2261,Graduation
5346,2n Cycle
4119,Master
535,Graduation
5268,Graduation
273,Master
4452,Graduation
8504,Graduation
771,Graduation
11178,Master
2230,PhD
7516,Graduation
7247,Graduation
11100,Graduation
4646,2n Cycle
3037,PhD
1473,2n Cycle
1016,PhD
4518,Graduation
9370,PhD
8908,Graduation
8373,Basic
7533,Graduation
2683,Graduation
3629,Graduation
10991,Master
5077,Graduation
7431,PhD
3267,Master
999,Graduation
9215,PhD
2286,Graduation
1592,Graduation
367,2n Cycle
5234,2n Cycle
9862,Graduation
9805,Master
6205,Master
8442,Master
7386,Graduation
7215,Graduation
1491,2n Cycle
11071,Graduation
3381,Master
11051,PhD
8026,Graduation
433,Master
9597,Graduation
5290,PhD
1685,PhD
5342,Basic
9579,PhD
7660,PhD
1461,PhD
821,Master
11084,Master
8690,Graduation
2937,PhD
9701,Graduation
9949,Graduation
10837,Graduation
3120,Graduation
5885,2n Cycle
4050,Master
3830,Master
7987,Graduation
7798,2n Cycle
92,Graduation
7055,PhD
10240,Graduation
3025,Graduation
9283,Graduation
9970,Graduation
2730,Graduation
2795,Master
9260,PhD
8182,Graduation
10095,PhD
8475,PhD
4370,Graduation
10573,Graduation
3712,Graduation
6637,Graduation
3152,Graduation
5610,Graduation
6460,Graduation
1349,Graduation
1880,PhD
641,Graduation
8717,PhD
10314,PhD
10854,PhD
10492,Graduation
6935,2n Cycle
7698,PhD
3559,2n Cycle
10562,Master
10796,Master
2563,Basic
3518,Graduation
5823,PhD
3934,Graduation
6982,Graduation
6431,PhD
9733,Basic
5602,PhD
7829,2n Cycle
1324,Graduation
326,Graduation
7224,Graduation
6999,Master
9938,Graduation
6422,Graduation
3182,PhD
7300,Graduation
10424,Graduation
8727,Graduation
2798,PhD
1030,PhD
624,Master
5176,Graduation
5552,Master
868,Graduation
380,Graduation
2677,Graduation
6521,Graduation
6927,PhD
2877,Master
0,Graduation
1584,Graduation
7264,2n Cycle
6274,Master
1377,Master
454,Graduation
1755,2n Cycle
2075,Graduation
4785,PhD
9076,PhD
7079,Graduation
4653,Graduation
7375,Graduation
709,Graduation
460,PhD
3726,PhD
6798,Graduation
5341,2n Cycle
1606,Graduation
9617,Graduation
3233,PhD
89,2n Cycle
2936,Master
9449,PhD
7297,Graduation
11004,2n Cycle
313,Graduation
9940,Graduation
10735,Graduation
