account_id,fish-segment
5524,Fish - Biggest consumer
2174,Fish - Low consumer
4141,Fish - Biggest consumer
6182,Fish - Frequent consumer
5324,Fish - Frequent consumer
7446,Non consumer
965,Fish - Frequent consumer
6177,Fish - Low consumer
4855,Fish - Low consumer
5899,Fish - Low consumer
387,Fish - Frequent consumer
2125,Fish - Biggest consumer
8180,Fish - Low consumer
2569,Fish - Low consumer
2114,Fish - Frequent consumer
9736,Fish - Low consumer
4939,Fish - Biggest consumer
6565,Non consumer
2278,Fish - Frequent consumer
9360,Fish - Biggest consumer
5376,Fish - Low consumer
1993,Non consumer
4047,Fish - Frequent consumer
1409,Fish - Frequent consumer
7892,Fish - Frequent consumer
2404,Fish - Low consumer
9422,Fish - Frequent consumer
1966,Fish - Frequent consumer
6864,Fish - Low consumer
3033,Fish - Frequent consumer
5710,Fish - Low consumer
7373,Fish - Frequent consumer
8755,Fish - Biggest consumer
10738,Fish - Low consumer
4339,Non consumer
10755,Fish - Frequent consumer
8595,Fish - Low consumer
2968,Fish - Biggest consumer
8601,Fish - Biggest consumer
503,Fish - Low consumer
8430,Fish - Low consumer
2139,Fish - Low consumer
1371,Fish - Biggest consumer
9909,Fish - Frequent consumer
7286,Fish - Low consumer
6566,Fish - Frequent consumer
8614,Fish - Frequent consumer
4114,Fish - Frequent consumer
1331,Fish - Frequent consumer
2225,Fish - Biggest consumer
9381,Fish - Frequent consumer
6260,Fish - Biggest consumer
10383,Fish - Biggest consumer
7437,Fish - Low consumer
8375,Non consumer
6853,Fish - Biggest consumer
3076,Fish - Frequent consumer
1012,Fish - Frequent consumer
6518,Non consumer
4137,Fish - Biggest consumer
8082,Fish - Low consumer
1386,Non consumer
9369,Fish - Biggest consumer
4477,Fish - Frequent consumer
1357,Fish - Frequent consumer
1402,Fish - Biggest consumer
6312,Fish - Biggest consumer
8132,Non consumer
1050,Fish - Low consumer
5846,Fish - Low consumer
1859,Fish - Biggest consumer
7503,Fish - Biggest consumer
10401,Non consumer
1618,Non consumer
3332,Fish - Frequent consumer
2261,Fish - Low consumer
5346,Fish - Frequent consumer
4119,Fish - Frequent consumer
535,Fish - Frequent consumer
5268,Fish - Frequent consumer
273,Non consumer
4452,Non consumer
8504,Fish - Biggest consumer
771,Fish - Low consumer
11178,Non consumer
2230,Non consumer
7516,Fish - Frequent consumer
7247,Non consumer
11100,Non consumer
4646,Fish - Biggest consumer
3037,Fish - Biggest consumer
1473,Fish - Low consumer
1016,Fish - Low consumer
4518,Fish - Biggest consumer
9370,Fish - Biggest consumer
8908,Fish - Frequent consumer
8373,Fish - Frequent consumer
7533,Fish - Low consumer
2683,Fish - Biggest consumer
3629,Fish - Low consumer
10991,Fish - Frequent consumer
5077,Fish - Frequent consumer
7431,Fish - Frequent consumer
3267,Non consumer
999,Fish - Frequent consumer
9215,Non consumer
2286,Non consumer
1592,Fish - Biggest consumer
367,Fish - Biggest consumer
5234,Non consumer
9862,Fish - Frequent consumer
9805,Fish - Frequent consumer
6205,Non consumer
8442,Fish - Low consumer
7386,Fish - Frequent consumer
7215,Fish - Frequent consumer
1491,Fish - Frequent consumer
11071,Fish - Biggest consumer
3381,Non consumer
11051,Fish - Frequent consumer
8026,Fish - Biggest consumer
433,Non consumer
9597,Fish - Frequent consumer
5290,Fish - Low consumer
1685,Fish - Frequent consumer
5342,Fish - Frequent consumer
9579,Fish - Low consumer
7660,Fish - Low consumer
1461,Fish - Low consumer
821,Fish - Frequent consumer
11084,Fish - Frequent consumer
8690,Fish - Frequent consumer
2937,Fish - Frequent consumer
9701,Fish - Biggest consumer
9949,Fish - Frequent consumer
10837,Fish - Frequent consumer
3120,Non consumer
5885,Fish - Frequent consumer
4050,Fish - Frequent consumer
3830,Fish - Frequent consumer
7987,Fish - Frequent consumer
7798,Fish - Frequent consumer
92,Fish - Frequent consumer
7055,Non consumer
10240,Fish - Frequent consumer
3025,Fish - Low consumer
9283,Fish - Low consumer
9970,Fish - Frequent consumer
2730,Fish - Biggest consumer
2795,Non consumer
9260,Fish - Frequent consumer
8182,Fish - Frequent consumer
10095,Fish - Frequent consumer
8475,Fish - Low consumer
4370,Fish - Low consumer
10573,Fish - Biggest consumer
3712,Fish - Frequent consumer
6637,Fish - Biggest consumer
3152,Fish - Frequent consumer
5610,Fish - Frequent consumer
6460,Fish - Frequent consumer
1349,Fish - Low consumer
1880,Non consumer
641,Non consumer
8717,Fish - Biggest consumer
10314,Fish - Biggest consumer
10854,Non consumer
10492,Fish - Low consumer
6935,Fish - Biggest consumer
7698,Fish - Low consumer
3559,Fish - Low consumer
10562,Fish - Frequent consumer
10796,Non consumer
2563,Fish - Low consumer
3518,Fish - Frequent consumer
5823,Non consumer
3934,Fish - Frequent consumer
6982,Fish - Biggest consumer
6431,Fish - Low consumer
9733,Fish - Frequent consumer
5602,Fish - Biggest consumer
7829,Fish - Frequent consumer
1324,Fish - Low consumer
326,Fish - Frequent consumer
7224,Fish - Low consumer
6999,Fish - Frequent consumer
9938,Fish - Frequent consumer
6422,Fish - Frequent consumer
3182,Fish - Frequent consumer
7300,Fish - Low consumer
10424,Fish - Biggest consumer
8727,Fish - Frequent consumer
2798,Fish - Biggest consumer
1030,Non consumer
624,Fish - Frequent consumer
5176,Fish - Frequent consumer
5552,Fish - Frequent consumer
868,Non consumer
380,Fish - Frequent consumer
2677,Fish - Biggest consumer
6521,Fish - Frequent consumer
6927,Non consumer
2877,Fish - Frequent consumer
0,Fish - Biggest consumer
1584,Fish - Frequent consumer
7264,Non consumer
6274,Fish - Frequent consumer
1377,Non consumer
454,Fish - Frequent consumer
1755,Fish - Frequent consumer
2075,Fish - Biggest consumer
4785,Fish - Frequent consumer
9076,Non consumer
7079,Fish - Frequent consumer
4653,Fish - Low consumer
7375,Non consumer
709,Non consumer
460,Fish - Biggest consumer
3726,Fish - Low consumer
6798,Fish - Low consumer
5341,Fish - Biggest consumer
1606,Fish - Low consumer
9617,Fish - Low consumer
3233,Fish - Frequent consumer
89,Fish - Low consumer
2936,Non consumer
9449,Fish - Frequent consumer
7297,Fish - Frequent consumer
11004,Fish - Frequent consumer
313,Fish - Biggest consumer
9940,Fish - Biggest consumer
10735,Fish - Low consumer
9529,Fish - Biggest consumer
6439,Non consumer
7411,Non consumer
2176,Fish - Biggest consumer
9265,Fish - Biggest consumer
8867,Fish - Biggest consumer
8932,Fish - Biggest consumer
10236,Fish - Low consumer
6340,Non consumer
10089,Fish - Frequent consumer
2227,Fish - Frequent consumer
10992,Fish - Frequent consumer
5304,Non consumer
309,Fish - Frequent consumer
3406,Fish - Frequent consumer
2661,Fish - Frequent consumer
3153,Non consumer
10264,Fish - Low consumer
1184,Fish - Frequent consumer
4200,Fish - Frequent consumer
9396,Fish - Low consumer
2387,Fish - Low consumer
6690,Fish - Low consumer
1225,Fish - Biggest consumer
9703,Non consumer
291,Fish - Biggest consumer
4557,Fish - Frequent consumer
2379,Fish - Biggest consumer
5726,Non consumer
3066,Fish - Low consumer
6336,Fish - Frequent consumer
10967,Fish - Low consumer
2304,Fish - Frequent consumer
3445,Fish - Biggest consumer
7828,Fish - Biggest consumer
3762,Fish - Frequent consumer
4391,Fish - Frequent consumer
4669,Fish - Frequent consumer
10144,Non consumer
8652,Fish - Biggest consumer
1672,Fish - Frequent consumer
8962,Non consumer
9974,Fish - Low consumer
10983,Fish - Biggest consumer
8148,Fish - Frequent consumer
10102,Fish - Biggest consumer
4697,Fish - Low consumer
9262,Non consumer
7254,Fish - Frequent consumer
4543,Fish - Biggest consumer
4927,Fish - Frequent consumer
10451,Non consumer
2926,Non consumer
2874,Fish - Low consumer
9738,Non consumer
7119,Fish - Frequent consumer
3924,Non consumer
5827,Fish - Low consumer
5596,Fish - Frequent consumer
10812,Fish - Low consumer
1717,Fish - Frequent consumer
9491,Fish - Low consumer
9274,Fish - Biggest consumer
6609,Fish - Frequent consumer
6963,Fish - Frequent consumer
