account_id,fruits-segment
5524,Fruits - Biggest consumer
2174,Fruits - Low consumer
4141,Fruits - Biggest consumer
6182,Fruits - Low consumer
5324,Fruits - Frequent consumer
7446,Fruits - Frequent consumer
965,Fruits - Biggest consumer
6177,Fruits - Frequent consumer
4855,Non consumer
5899,Non consumer
387,Fruits - Frequent consumer
2125,Fruits - Biggest consumer
8180,Fruits - Low consumer
2569,Fruits - Frequent consumer
2114,Fruits - Frequent consumer
9736,Fruits - Frequent consumer
4939,Fruits - Frequent consumer
6565,Fruits - Biggest consumer
2278,Fruits - Frequent consumer
9360,Fruits - Low consumer
5376,Fruits - Low consumer
1993,Non consumer
4047,Non consumer
1409,Fruits - Low consumer
7892,Fruits - Low consumer
2404,Fruits - Low consumer
9422,Fruits - Low consumer
1966,Fruits - Biggest consumer
6864,Fruits - Low consumer
3033,Fruits - Frequent consumer
5710,Non consumer
7373,Fruits - Frequent consumer
8755,Fruits - Frequent consumer
10738,Non consumer
4339,Fruits - Frequent consumer
10755,Fruits - Low consumer
8595,Non consumer
2968,Fruits - Frequent consumer
8601,Fruits - Biggest consumer
503,Fruits - Low consumer
8430,Non consumer
2139,Fruits - Low consumer
1371,Fruits - Biggest consumer
9909,Fruits - Frequent consumer
7286,Fruits - Frequent consumer
6566,Fruits - Biggest consumer
8614,Fruits - Frequent consumer
4114,Fruits - Frequent consumer
1331,Fruits - Frequent consumer
2225,Fruits - Biggest consumer
9381,Fruits - Frequent consumer
6260,Fruits - Biggest consumer
10383,Fruits - Frequent consumer
7437,Non consumer
8375,Non consumer
6853,Fruits - Frequent consumer
3076,Fruits - Frequent consumer
1012,Fruits - Frequent consumer
6518,Non consumer
4137,Fruits - Frequent consumer
8082,Fruits - Low consumer
1386,Non consumer
9369,Fruits - Frequent consumer
4477,Fruits - Biggest consumer
1357,Fruits - Biggest consumer
1402,Fruits - Frequent consumer
6312,Fruits - Biggest consumer
8132,Fruits - Frequent consumer
1050,Fruits - Frequent consumer
5846,Fruits - Low consumer
1859,Fruits - Biggest consumer
7503,Fruits - Biggest consumer
10401,Non consumer
1618,Non consumer
3332,Fruits - Low consumer
2261,Fruits - Low consumer
5346,Fruits - Frequent consumer
4119,Fruits - Frequent consumer
535,Fruits - Frequent consumer
5268,Fruits - Frequent consumer
273,Non consumer
4452,Fruits - Frequent consumer
8504,Fruits - Biggest consumer
771,Fruits - Frequent consumer
11178,Fruits - Low consumer
2230,Fruits - Low consumer
7516,Fruits - Low consumer
7247,Non consumer
11100,Fruits - Low consumer
4646,Fruits - Frequent consumer
3037,Fruits - Biggest consumer
1473,Fruits - Low consumer
1016,Fruits - Low consumer
4518,Fruits - Biggest consumer
9370,Fruits - Biggest consumer
8908,Fruits - Biggest consumer
8373,Fruits - Low consumer
7533,Fruits - Low consumer
2683,Fruits - Biggest consumer
3629,Fruits - Low consumer
10991,Fruits - Biggest consumer
5077,Fruits - Biggest consumer
7431,Fruits - Frequent consumer
3267,Non consumer
999,Fruits - Biggest consumer
9215,Non consumer
2286,Fruits - Low consumer
1592,Fruits - Biggest consumer
367,Fruits - Biggest consumer
5234,Fruits - Frequent consumer
