account_id,gold-segment
5524,Gold - Biggest consumer
2174,Gold - Low consumer
4141,Gold - Frequent consumer
6182,Gold - Low consumer
5324,Gold - Frequent consumer
7446,Gold - Frequent consumer
965,Gold - Frequent consumer
6177,Gold - Frequent consumer
4855,Gold - Low consumer
5899,Gold - Frequent consumer
387,Gold - Frequent consumer
2125,Gold - Frequent consumer
8180,Gold - Frequent consumer
2569,Gold - Low consumer
2114,Gold - Frequent consumer
9736,Gold - Low consumer
4939,Gold - Frequent consumer
6565,Gold - Biggest consumer
2278,Gold - Frequent consumer
9360,Gold - Frequent consumer
5376,Gold - Low consumer
1993,Gold - Frequent consumer
4047,Gold - Low consumer
1409,Gold - Biggest consumer
7892,Gold - Frequent consumer
2404,Gold - Frequent consumer
9422,Gold - Low consumer
1966,Non consumer
6864,Gold - Low consumer
3033,Gold - Biggest consumer
5710,Gold - Low consumer
7373,Gold - Frequent consumer
8755,Gold - Frequent consumer
10738,Gold - Low consumer
4339,Gold - Frequent consumer
10755,Gold - Frequent consumer
8595,Gold - Low consumer
2968,Gold - Frequent consumer
8601,Gold - Biggest consumer
503,Gold - Low consumer
8430,Gold - Low consumer
2139,Gold - Frequent consumer
1371,Gold - Biggest consumer
9909,Gold - Frequent consumer
7286,Gold - Frequent consumer
6566,Gold - Frequent consumer
8614,Gold - Frequent consumer
4114,Gold - Frequent consumer
1331,Gold - Low consumer
2225,Gold - Biggest consumer
9381,Gold - Biggest consumer
6260,Gold - Biggest consumer
10383,Gold - Frequent consumer
7437,Gold - Low consumer
8375,Gold - Frequent consumer
6853,Gold - Biggest consumer
3076,Gold - Low consumer
1012,Gold - Biggest consumer
6518,Gold - Low consumer
4137,Gold - Frequent consumer
8082,Gold - Frequent consumer
1386,Non consumer
9369,Gold - Frequent consumer
4477,Gold - Biggest consumer
1357,Gold - Biggest consumer
1402,Gold - Frequent consumer
6312,Gold - Biggest consumer
8132,Gold - Frequent consumer
1050,Gold - Low consumer
5846,Gold - Low consumer
1859,Gold - Frequent consumer
7503,Gold - Frequent consumer
10401,Gold - Low consumer
1618,Gold - Frequent consumer
3332,Gold - Frequent consumer
2261,Gold - Low consumer
5346,Gold - Frequent consumer
4119,Gold - Biggest consumer
535,Gold - Biggest consumer
5268,Gold - Low consumer
273,Gold - Low consumer
4452,Gold - Frequent consumer
8504,Gold - Biggest consumer
771,Gold - Low consumer
11178,Gold - Low consumer
2230,Non consumer
7516,Gold - Low consumer
7247,Gold - Biggest consumer
11100,Gold - Low consumer
4646,Gold - Biggest consumer
3037,Gold - Frequent consumer
1473,Gold - Low consumer
1016,Gold - Low consumer
4518,Gold - Biggest consumer
9370,Gold - Biggest consumer
8908,Gold - Frequent consumer
8373,Gold - Low consumer
7533,Gold - Low consumer
2683,Gold - Biggest consumer
3629,Gold - Frequent consumer
10991,Gold - Frequent consumer
5077,Gold - Biggest consumer
7431,Gold - Biggest consumer
3267,Gold - Biggest consumer
999,Gold - Frequent consumer
9215,Gold - Biggest consumer
2286,Gold - Frequent consumer
1592,Gold - Frequent consumer
367,Gold - Biggest consumer
5234,Gold - Frequent consumer
9862,Gold - Low consumer
9805,Gold - Frequent consumer
6205,Gold - Low consumer
8442,Gold - Low consumer
7386,Gold - Low consumer
7215,Gold - Biggest consumer
1491,Gold - Biggest consumer
