account_id,has-child
5524,No child
2174,Has child
4141,No child
6182,Has child
5324,Has child
7446,Has child
965,Has child
6177,Has child
4855,Has child
5899,Has child
387,No child
2125,No child
8180,Has child
2569,No child
2114,No child
9736,Has child
4939,No child
6565,Has child
2278,Has child
9360,No child
5376,Has child
1993,Has child
4047,Has child
1409,Has child
7892,No child
2404,Has child
9422,Has child
1966,No child
6864,No child
3033,No child
5710,Has child
7373,Has child
8755,No child
10738,Has child
4339,Has child
10755,Has child
8595,Has child
2968,No child
8601,Has child
503,Has child
8430,Has child
2139,Has child
1371,No child
9909,No child
7286,Has child
6566,Has child
8614,Has child
4114,No child
1331,Has child
2225,No child
9381,Has child
6260,No child
10383,No child
7437,Has child
8375,Has child
6853,No child
3076,Has child
1012,Has child
6518,Has child
4137,No child
8082,Has child
1386,Has child
9369,Has child
4477,Has child
1357,Has child
1402,No child
6312,Has child
8132,Has child
1050,No child
5846,Has child
1859,No child
7503,No child
10401,No child
1618,No child
3332,Has child
2261,Has child
5346,Has child
4119,No child
535,No child
5268,Has child
273,Has child
4452,Has child
8504,No child
771,Has child
11178,Has child
2230,Has child
7516,Has child
7247,Has child
11100,Has child
4646,No child
3037,No child
1473,Has child
1016,Has child
4518,Has child
9370,No child
8908,No child
8373,Has child
7533,Has child
2683,Has child
3629,Has child
10991,No child
5077,Has child
7431,No child
3267,Has child
999,No child
9215,Has child
2286,Has child
1592,No child
367,Has child
5234,Has child
9862,Has child
9805,Has child
6205,Has child
8442,Has child
7386,Has child
7215,No child
1491,No child
11071,No child
3381,Has child
11051,Has child
8026,Has child
433,Has child
9597,No child
5290,Has child
1685,No child
5342,Has child
9579,Has child
7660,Has child
1461,Has child
821,No child
11084,Has child
8690,No child
2937,Has child
9701,Has child
9949,Has child
10837,Has child
3120,Has child
5885,Has child
4050,No child
3830,Has child
7987,Has child
7798,Has child
92,Has child
7055,Has child
10240,No child
3025,Has child
9283,Has child
9970,Has child
2730,No child
2795,Has child
9260,No child
8182,Has child
10095,No child
8475,Has child
4370,Has child
10573,No child
3712,No child
6637,No child
3152,Has child
5610,Has child
6460,Has child
1349,Has child
1880,Has child
641,Has child
8717,Has child
10314,No child
10854,Has child
10492,Has child
6935,No child
7698,Has child
3559,Has child
10562,No child
10796,Has child
2563,No child
3518,Has child
5823,Has child
3934,Has child
6982,No child
6431,Has child
9733,Has child
5602,No child
7829,Has child
1324,Has child
326,Has child
7224,Has child
6999,No child
9938,No child
6422,No child
3182,Has child
7300,Has child
10424,No child
8727,Has child
2798,No child
1030,Has child
624,No child
5176,Has child
5552,Has child
868,Has child
380,Has child
2677,Has child
6521,No child
6927,Has child
2877,Has child
0,No child
1584,Has child
7264,Has child
6274,No child
1377,Has child
454,Has child
1755,Has child
2075,No child
4785,Has child
9076,Has child
7079,Has child
4653,Has child
7375,Has child
709,Has child
460,No child
3726,Has child
6798,Has child
5341,Has child
1606,Has child
9617,No child
3233,Has child
89,Has child
2936,Has child
9449,Has child
7297,Has child
11004,Has child
313,No child
9940,Has child
10735,Has child
9529,No child
6439,Has child
7411,Has child
2176,Has child
9265,Has child
8867,No child
8932,Has child
10236,Has child
6340,Has child
10089,No child
2227,No child
10992,Has child
5304,Has child
309,Has child
3406,Has child
2661,Has child
3153,Has child
10264,Has child
1184,Has child
4200,Has child
9396,Has child
2387,Has child
6690,Has child
1225,No child
9703,Has child
291,No child
4557,Has child
2379,No child
5726,Has child
3066,Has child
6336,Has child
10967,Has child
2304,Has child
3445,No child
7828,No child
3762,No child
4391,Has child
4669,Has child
10144,Has child
8652,No child
1672,Has child
8962,Has child
9974,Has child
10983,No child
8148,Has child
10102,No child
4697,No child
9262,No child
7254,Has child
4543,No child
4927,Has child
10451,Has child
2926,Has child
2874,Has child
9738,Has child
7119,No child
3924,Has child
5827,Has child
5596,Has child
10812,Has child
1717,Has child
9491,Has child
9274,No child
6609,No child
6963,No child
4440,Has child
1379,No child
10032,Has child
2826,Has child
6320,No child
3050,Has child
231,Has child
2392,Has child
9478,Has child
113,Has child
1802,Has child
520,Has child
8275,Has child
9750,Has child
2607,Has child
7214,No child
5835,Has child
3896,Has child
10350,Has child
7786,Has child
2861,Has child
663,No child
10675,Has child
2521,Has child
9592,Has child
10151,Has child
7381,No child
4099,Has child
9560,No child
1150,No child
10172,No child
11191,No child
9707,Has child
6245,Has child
8234,Has child
1411,No child
8553,Has child
1826,No child
8842,Has child
11030,Has child
2579,Has child
175,Has child
9185,No child
11056,No child
9365,Has child
6201,Has child
2061,Has child
6184,No child
6142,No child
4107,Has child
7274,No child
9336,Has child
2958,Has child
933,Has child
5837,Has child
10704,Has child
5125,No child
4432,Has child
5955,No child
2928,Has child
5680,Has child
10313,Has child
2557,Has child
1245,Has child
1519,Has child
10703,Has child
1726,No child
4459,Has child
1729,Has child
1517,Has child
2098,Has child
9543,Has child
6878,No child
3310,Has child
2724,Has child
948,Has child
6720,Has child
6202,Has child
2066,Has child
9799,Has child
8318,No child
5642,Has child
2669,No child
455,No child
7683,Has child
3428,No child
7414,Has child
6354,Has child
798,Has child
8213,Has child
2488,Has child
9999,No child
7617,Has child
615,No child
2552,Has child
194,Has child
3645,Has child
8890,Has child
5049,Has child
9973,Has child
7301,Has child
10882,Has child
7030,Has child
7422,Has child
3523,Has child
7106,No child
6504,Has child
5067,No child
4216,No child
8581,Has child
5929,Has child
3129,Has child
6528,Has child
1361,No child
6932,No child
7284,Has child
1340,No child
8746,Has child
5987,Has child
3767,Has child
3725,No child
4324,Has child
238,Has child
6694,Has child
498,Has child
9347,Has child
9699,Has child
10664,Has child
5455,Has child
456,Has child
5012,Has child
7495,Has child
5029,No child
10642,Has child
2106,No child
10364,No child
5954,Has child
1137,No child
2541,Has child
1142,Has child
2276,Has child
2807,Has child
6471,Has child
6131,Has child
6233,Has child
4148,Has child
4947,No child
3225,Has child
7540,Has child
10648,No child
1992,Has child
7851,No child
8594,Has child
7059,No child
2815,Has child
2416,No child
7999,No child
9213,Has child
9697,Has child
3916,Has child
2021,Has child
1581,Has child
564,Has child
6619,Has child
9081,Has child
178,Has child
916,Has child
5512,Has child
8970,Has child
10581,Has child
5300,Has child
5154,Has child
8346,Has child
1676,Has child
9286,No child
2426,No child
5172,Has child
5562,Has child
3436,Has child
3921,No child
3403,Has child
22,Has child
10965,No child
9426,Has child
6605,No child
3136,Has child
8737,Has child
11088,Has child
716,Has child
466,No child
9135,Has child
10623,Has child
8151,No child
5140,Has child
10160,Has child
4945,No child
10584,Has child
6071,No child
3386,No child
8939,Has child
9925,Has child
4320,Has child
5389,Has child
6036,No child
182,Has child
203,No child
11025,Has child
10203,Has child
4607,No child
3711,No child
3696,Has child
2532,No child
9214,No child
4943,No child
35,Has child
2258,Has child
4322,No child
713,No child
4702,No child
3281,Has child
702,Has child
2004,Has child
4769,Has child
4437,Has child
8724,Has child
10741,Has child
1991,Has child
6931,No child
11096,Has child
304,Has child
3665,Has child
10591,Has child
5036,Has child
5547,No child
7822,Has child
8541,Has child
10955,No child
4368,Has child
9671,Has child
2256,Has child
4279,Has child
5371,Has child
9240,Has child
9460,No child
9504,No child
8692,Has child
448,Has child
8314,No child
8420,No child
3174,Has child
7685,Has child
3179,No child
9780,Has child
10681,Has child
10232,Has child
4184,Has child
9120,Has child
891,Has child
10381,Has child
3525,Has child
6818,Has child
3526,Has child
8181,Has child
1029,Has child
7369,Has child
2574,Has child
8159,Has child
1160,Has child
10242,Has child
5253,Has child
5966,Has child
5314,Has child
5081,Has child
5123,No child
5756,Has child
8036,Has child
9058,No child
5057,Has child
254,Has child
4179,No child
3710,Has child
7627,No child
4501,No child
6424,Has child
3075,No child
4992,Has child
5252,Has child
7444,Has child
6919,Has child
3537,Has child
10277,Has child
2453,Has child
7972,No child
895,Has child
1177,Has child
7141,Has child
7232,Has child
8477,Has child
2457,Has child
988,No child
7930,No child
4587,No child
6682,Has child
6222,Has child
10299,No child
3083,Has child
8953,Has child
1503,Has child
8650,Has child
10862,Has child
2782,Has child
6941,No child
10972,No child
10708,Has child
6583,No child
3641,Has child
10156,Has child
4299,Has child
3469,Has child
5063,Has child
10727,Has child
9624,No child
5156,Has child
4376,No child
8923,No child
8461,Has child
6945,No child
944,Has child
1907,Has child
701,Has child
3856,Has child
4149,No child
2131,Has child
2942,Has child
1173,No child
4381,Has child
4611,No child
3376,Has child
4679,Has child
10928,Has child
4248,No child
6728,Has child
6661,Has child
4725,Has child
3277,Has child
5555,No child
2564,Has child
946,No child
3867,Has child
6940,Has child
55,Has child
7093,Has child
5084,Has child
1777,No child
8162,No child
10826,No child
8754,Has child
1987,Has child
11007,Has child
7426,Has child
9153,Has child
10379,Has child
9204,Has child
3197,Has child
2920,Has child
6961,Has child
4673,Has child
9937,No child
8779,Has child
9596,No child
2891,Has child
4910,No child
75,No child
10120,Has child
6327,No child
10142,Has child
9826,No child
1501,No child
10767,No child
7279,No child
7230,Has child
143,No child
450,Has child
9316,No child
6379,Has child
9239,Has child
8315,No child
2868,Has child
10888,No child
1277,No child
9977,Has child
10196,Has child
6384,Has child
8029,No child
968,Has child
6988,Has child
4472,Has child
6991,Has child
3336,Has child
4301,Has child
1940,Has child
1272,Has child
1388,Has child
1044,No child
6969,Has child
10479,No child
3619,No child
1715,Has child
10159,Has child
1463,Has child
5114,Has child
4990,No child
4329,Has child
10936,No child
4692,Has child
7212,Has child
6086,No child
437,No child
11171,Has child
11101,No child
5329,Has child
610,Has child
9384,Has child
5956,Has child
10430,Has child
7875,No child
7072,Has child
6255,Has child
6516,Has child
5564,Has child
5682,Has child
7458,Has child
5237,Has child
7761,Has child
5278,No child
3560,No child
7235,Has child
10548,No child
2281,Has child
4073,No child
6974,No child
7938,Has child
7094,Has child
3667,No child
7723,No child
3870,No child
4012,Has child
5909,Has child
10470,Has child
6488,Has child
10270,Has child
6887,Has child
6406,No child
7573,Has child
4508,No child
221,Has child
5331,No child
1911,No child
20,Has child
8786,Has child
10582,Has child
1915,No child
8897,Has child
2371,Has child
4303,Has child
6825,Has child
1072,Has child
4964,No child
2461,Has child
10736,Has child
3194,No child
10839,Has child
49,Has child
4290,Has child
10219,Has child
4211,Has child
1135,Has child
6299,Has child
10846,Has child
347,Has child
6543,No child
10446,No child
3479,No child
11075,Has child
4442,Has child
199,No child
6722,Has child
796,Has child
3749,No child
8523,Has child
310,Has child
8629,Has child
236,Has child
9930,No child
3483,No child
4599,Has child
7326,Has child
7352,Has child
2350,Has child
9145,Has child
2964,No child
5585,Has child
9687,No child
3732,Has child
6303,No child
11176,Has child
2986,Has child
7462,No child
3900,Has child
7034,Has child
9493,No child
1143,Has child
1,No child
3855,No child
5536,Has child
5989,Has child
9499,Has child
6768,Has child
2150,Has child
6646,Has child
4887,Has child
8560,No child
3321,Has child
11003,Has child
10402,Has child
9904,Has child
6141,Has child
5687,No child
10856,Has child
5121,Has child
4186,Has child
368,Has child
3312,Has child
11121,Has child
5332,No child
5848,No child
10343,No child
5935,Has child
2895,Has child
10262,Has child
7848,Has child
9477,Has child
4856,No child
7186,Has child
5794,Has child
1456,Has child
4877,Has child
425,Has child
3007,Has child
1031,No child
4297,Has child
807,Has child
9553,No child
4271,Has child
4120,Has child
2036,Has child
115,Has child
4259,Has child
8687,Has child
2447,Has child
10140,No child
9353,Has child
3623,Has child
738,Has child
7631,Has child
4789,No child
773,Has child
10602,Has child
1446,No child
3270,Has child
8443,Has child
9653,Has child
8916,Has child
8017,Has child
5830,No child
4597,No child
7023,Has child
8086,Has child
8825,Has child
2930,No child
1928,Has child
7108,Has child
10925,No child
9960,Has child
8800,No child
9224,Has child
5519,Has child
5046,Has child
7037,Has child
905,Has child
8624,No child
8945,Has child
6445,No child
2727,No child
6404,Has child
11074,No child
10150,No child
1968,Has child
6534,Has child
9485,No child
7053,No child
4654,No child
9760,Has child
1048,Has child
10619,No child
9308,No child
10505,No child
8362,No child
2625,Has child
4637,No child
9972,Has child
4483,No child
4487,Has child
4988,Has child
8931,Has child
5871,No child
2008,No child
3139,No child
10037,No child
10673,Has child
5303,No child
538,Has child
7922,Has child
5692,Has child
4843,No child
6383,Has child
1628,No child
1204,Has child
3673,Has child
760,Has child
8957,Has child
4128,Has child
6810,No child
5386,No child
8700,No child
3202,No child
1328,Has child
8405,Has child
6515,Has child
2882,Has child
7574,Has child
6387,Has child
5320,Has child
5048,Has child
8146,Has child
