account_id,marital-status
5524,Alone
2174,Alone
4141,In couple
6182,In couple
5324,In couple
7446,In couple
965,Alone
6177,In couple
4855,In couple
5899,In couple
387,In couple
2125,Alone
8180,Alone
2569,In couple
2114,Alone
9736,In couple
4939,In couple
6565,In couple
2278,Alone
9360,In couple
5376,In couple
1993,In couple
4047,In couple
1409,In couple
7892,Alone
2404,In couple
9422,In couple
1966,In couple
6864,Alone
3033,In couple
5710,In couple
7373,Alone
8755,In couple
10738,Alone
4339,In couple
10755,In couple
8595,Alone
2968,Alone
8601,In couple
503,In couple
8430,In couple
2139,In couple
1371,Alone
9909,In couple
7286,In couple
6566,In couple
8614,Alone
4114,In couple
1331,Alone
2225,Alone
9381,In couple
6260,In couple
10383,Alone
7437,Alone
8375,In couple
6853,Alone
3076,In couple
1012,Alone
6518,Alone
4137,In couple
8082,In couple
1386,In couple
9369,Alone
4477,In couple
1357,In couple
1402,In couple
6312,In couple
8132,In couple
1050,In couple
5846,Alone
1859,In couple
7503,Alone
10401,In couple
1618,In couple
3332,Alone
2261,In couple
5346,In couple
4119,In couple
535,Alone
5268,In couple
273,In couple
4452,Alone
8504,In couple
771,In couple
11178,Alone
2230,In couple
7516,In couple
7247,Alone
11100,Alone
4646,In couple
3037,In couple
1473,Alone
1016,Alone
4518,In couple
9370,In couple
8908,In couple
8373,In couple
7533,In couple
2683,In couple
3629,Alone
10991,In couple
5077,In couple
7431,Alone
3267,In couple
999,Alone
9215,In couple
2286,Alone
1592,In couple
367,In couple
5234,In couple
9862,In couple
9805,In couple
6205,Alone
8442,In couple
7386,Alone
7215,Alone
1491,In couple
11071,Alone
3381,In couple
11051,In couple
8026,In couple
433,Alone
9597,In couple
5290,In couple
1685,In couple
5342,Alone
9579,In couple
7660,Alone
1461,Alone
821,Alone
11084,In couple
8690,In couple
2937,Alone
9701,In couple
9949,In couple
10837,In couple
3120,In couple
5885,In couple
4050,In couple
3830,In couple
7987,In couple
7798,In couple
92,Alone
7055,In couple
10240,In couple
3025,Alone
9283,Alone
9970,In couple
2730,Alone
2795,Alone
9260,In couple
8182,In couple
10095,Alone
8475,In couple
4370,In couple
10573,Alone
3712,Alone
6637,Alone
3152,In couple
5610,In couple
6460,In couple
1349,In couple
1880,In couple
641,Alone
8717,In couple
10314,In couple
10854,In couple
10492,In couple
6935,In couple
7698,In couple
3559,In couple
10562,In couple
10796,In couple
2563,In couple
3518,In couple
5823,Alone
3934,In couple
6982,In couple
6431,In couple
9733,In couple
5602,In couple
7829,Alone
1324,In couple
326,In couple
7224,In couple
6999,In couple
9938,In couple
6422,In couple
3182,Alone
7300,Alone
10424,Alone
8727,Alone
2798,In couple
1030,Alone
624,Alone
5176,In couple
5552,Alone
868,In couple
380,Alone
2677,In couple
6521,In couple
6927,In couple
2877,In couple
0,In couple
1584,In couple
7264,Alone
6274,In couple
1377,Alone
454,In couple
1755,In couple
2075,In couple
4785,In couple
9076,In couple
7079,Alone
4653,In couple
7375,In couple
709,Alone
460,In couple
3726,In couple
6798,Alone
5341,Alone
1606,In couple
9617,Alone
3233,In couple
89,In couple
2936,In couple
9449,Alone
7297,Alone
11004,Alone
313,Alone
9940,In couple
10735,Alone
9529,In couple
6439,In couple
7411,In couple
2176,In couple
9265,In couple
8867,In couple
8932,In couple
10236,Alone
6340,Alone
10089,Alone
2227,In couple
10992,In couple
5304,Alone
309,In couple
3406,Alone
2661,Alone
3153,Alone
10264,Alone
1184,Alone
4200,In couple
9396,In couple
2387,In couple
6690,In couple
1225,In couple
9703,In couple
291,In couple
4557,In couple
2379,Alone
5726,Alone
3066,In couple
6336,In couple
10967,Alone
2304,In couple
3445,Alone
7828,In couple
3762,Alone
4391,Alone
4669,In couple
10144,In couple
8652,In couple
1672,In couple
8962,In couple
9974,In couple
10983,In couple
8148,In couple
10102,Alone
4697,Alone
9262,In couple
7254,In couple
4543,In couple
4927,In couple
10451,In couple
2926,In couple
2874,Alone
9738,In couple
7119,Alone
3924,Alone
5827,Alone
5596,In couple
10812,In couple
1717,Alone
9491,In couple
9274,In couple
6609,Alone
6963,Alone
4440,In couple
1379,In couple
10032,Alone
2826,In couple
6320,Alone
3050,In couple
231,In couple
2392,In couple
9478,Alone
113,In couple
1802,In couple
520,In couple
8275,Alone
9750,Alone
2607,Alone
7214,In couple
5835,Alone
3896,In couple
10350,In couple
7786,Alone
2861,Alone
663,Alone
10675,In couple
2521,In couple
9592,In couple
10151,Alone
7381,Alone
4099,In couple
9560,In couple
1150,In couple
10172,Alone
11191,Alone
9707,In couple
6245,In couple
8234,In couple
1411,Alone
8553,In couple
1826,Alone
8842,Alone
11030,In couple
2579,In couple
175,In couple
9185,Alone
11056,In couple
9365,Alone
6201,Alone
2061,In couple
6184,In couple
6142,In couple
4107,In couple
7274,In couple
9336,Alone
2958,In couple
933,In couple
5837,In couple
10704,Alone
5125,In couple
4432,Alone
5955,In couple
2928,Alone
5680,In couple
10313,In couple
2557,Alone
1245,Alone
1519,Alone
10703,Alone
1726,Alone
4459,Alone
1729,In couple
1517,Alone
2098,In couple
9543,In couple
6878,Alone
3310,In couple
2724,Alone
948,Alone
6720,In couple
6202,In couple
2066,In couple
9799,Alone
8318,In couple
5642,In couple
2669,Alone
455,In couple
7683,In couple
3428,In couple
7414,In couple
6354,In couple
798,Alone
8213,In couple
2488,Alone
9999,In couple
7617,Alone
615,In couple
2552,Alone
194,In couple
3645,Alone
8890,Alone
5049,In couple
9973,In couple
7301,Alone
10882,In couple
7030,In couple
7422,Alone
3523,In couple
7106,In couple
6504,In couple
5067,In couple
4216,Alone
8581,In couple
5929,In couple
3129,In couple
6528,In couple
1361,In couple
6932,In couple
7284,In couple
1340,In couple
8746,In couple
5987,In couple
3767,In couple
3725,Alone
4324,In couple
238,In couple
6694,In couple
498,Alone
9347,In couple
9699,Alone
10664,Alone
5455,In couple
456,In couple
5012,In couple
7495,In couple
5029,In couple
10642,Alone
2106,In couple
10364,Alone
