account_id,meat-segment
5524,Meat - Biggest consumer
2174,Meat - Low consumer
4141,Meat - Frequent consumer
6182,Meat - Frequent consumer
5324,Meat - Frequent consumer
7446,Meat - Frequent consumer
965,Meat - Frequent consumer
6177,Meat - Frequent consumer
4855,Meat - Frequent consumer
5899,Meat - Low consumer
387,Meat - Low consumer
2125,Meat - Biggest consumer
8180,Meat - Frequent consumer
2569,Meat - Frequent consumer
2114,Meat - Frequent consumer
9736,Meat - Frequent consumer
4939,Meat - Frequent consumer
6565,Meat - Biggest consumer
2278,Meat - Frequent consumer
9360,Meat - Frequent consumer
5376,Meat - Biggest consumer
1993,Meat - Frequent consumer
4047,Meat - Frequent consumer
1409,Meat - Frequent consumer
7892,Meat - Frequent consumer
2404,Meat - Frequent consumer
9422,Meat - Frequent consumer
1966,Meat - Biggest consumer
6864,Meat - Low consumer
3033,Meat - Frequent consumer
5710,Meat - Low consumer
7373,Meat - Frequent consumer
8755,Meat - Biggest consumer
10738,Meat - Frequent consumer
4339,Meat - Frequent consumer
10755,Meat - Low consumer
8595,Meat - Low consumer
2968,Meat - Frequent consumer
8601,Meat - Biggest consumer
503,Meat - Frequent consumer
8430,Meat - Low consumer
2139,Meat - Low consumer
1371,Meat - Biggest consumer
9909,Meat - Low consumer
7286,Meat - Low consumer
6566,Meat - Biggest consumer
8614,Meat - Frequent consumer
4114,Meat - Biggest consumer
1331,Meat - Frequent consumer
2225,Meat - Biggest consumer
9381,Meat - Frequent consumer
6260,Meat - Biggest consumer
10383,Meat - Biggest consumer
7437,Meat - Low consumer
8375,Meat - Frequent consumer
6853,Meat - Biggest consumer
3076,Meat - Frequent consumer
1012,Meat - Frequent consumer
6518,Meat - Frequent consumer
4137,Meat - Biggest consumer
8082,Meat - Low consumer
1386,Meat - Low consumer
9369,Meat - Biggest consumer
4477,Meat - Frequent consumer
1357,Meat - Biggest consumer
1402,Meat - Biggest consumer
6312,Meat - Biggest consumer
8132,Meat - Frequent consumer
1050,Meat - Low consumer
5846,Meat - Low consumer
1859,Meat - Biggest consumer
7503,Meat - Biggest consumer
10401,Meat - Low consumer
1618,Meat - Frequent consumer
3332,Meat - Frequent consumer
2261,Meat - Low consumer
5346,Meat - Frequent consumer
4119,Meat - Frequent consumer
535,Meat - Biggest consumer
5268,Meat - Low consumer
273,Meat - Low consumer
4452,Meat - Frequent consumer
8504,Meat - Biggest consumer
771,Meat - Frequent consumer
11178,Meat - Low consumer
2230,Meat - Low consumer
7516,Meat - Low consumer
7247,Meat - Frequent consumer
11100,Meat - Low consumer
4646,Meat - Biggest consumer
3037,Meat - Frequent consumer
1473,Meat - Low consumer
1016,Meat - Low consumer
4518,Meat - Frequent consumer
9370,Meat - Biggest consumer
8908,Meat - Biggest consumer
8373,Meat - Low consumer
7533,Meat - Frequent consumer
2683,Meat - Biggest consumer
3629,Meat - Frequent consumer
10991,Meat - Frequent consumer
5077,Meat - Biggest consumer
7431,Meat - Biggest consumer
3267,Meat - Frequent consumer
999,Meat - Frequent consumer
9215,Meat - Frequent consumer
2286,Meat - Frequent consumer
1592,Meat - Biggest consumer
367,Meat - Frequent consumer
5234,Meat - Frequent consumer
9862,Meat - Low consumer
9805,Meat - Frequent consumer
6205,Meat - Frequent consumer
8442,Meat - Low consumer
7386,Meat - Low consumer
7215,Meat - Frequent consumer
1491,Meat - Frequent consumer
11071,Meat - Biggest consumer
3381,Meat - Low consumer
11051,Meat - Frequent consumer
8026,Meat - Frequent consumer
433,Meat - Frequent consumer
9597,Meat - Frequent consumer
5290,Meat - Frequent consumer
1685,Meat - Biggest consumer
5342,Meat - Low consumer
9579,Meat - Frequent consumer
7660,Meat - Low consumer
1461,Meat - Low consumer
821,Meat - Biggest consumer
11084,Meat - Frequent consumer
8690,Meat - Biggest consumer
2937,Meat - Frequent consumer
9701,Meat - Frequent consumer
9949,Meat - Frequent consumer
10837,Meat - Frequent consumer
3120,Meat - Low consumer
5885,Meat - Frequent consumer
4050,Meat - Frequent consumer
3830,Meat - Frequent consumer
7987,Meat - Frequent consumer
7798,Meat - Frequent consumer
92,Meat - Frequent consumer
7055,Meat - Frequent consumer
10240,Meat - Biggest consumer
3025,Meat - Frequent consumer
9283,Meat - Low consumer
9970,Meat - Frequent consumer
2730,Meat - Biggest consumer
2795,Meat - Low consumer
9260,Meat - Biggest consumer
8182,Meat - Frequent consumer
10095,Meat - Biggest consumer
8475,Meat - Biggest consumer
4370,Meat - Frequent consumer
10573,Meat - Frequent consumer
3712,Meat - Frequent consumer
6637,Meat - Biggest consumer
3152,Meat - Frequent consumer
5610,Meat - Low consumer
6460,Meat - Low consumer
1349,Meat - Frequent consumer
1880,Meat - Low consumer
641,Meat - Low consumer
8717,Meat - Biggest consumer
10314,Meat - Frequent consumer
10854,Meat - Low consumer
10492,Meat - Low consumer
6935,Meat - Biggest consumer
7698,Meat - Frequent consumer
3559,Meat - Low consumer
10562,Meat - Frequent consumer
10796,Meat - Low consumer
2563,Meat - Low consumer
3518,Meat - Frequent consumer
5823,Meat - Low consumer
3934,Meat - Frequent consumer
6982,Meat - Biggest consumer
6431,Meat - Frequent consumer
9733,Meat - Low consumer
5602,Meat - Biggest consumer
7829,Meat - Low consumer
1324,Meat - Frequent consumer
326,Meat - Frequent consumer
7224,Meat - Low consumer
6999,Meat - Frequent consumer
9938,Meat - Biggest consumer
6422,Meat - Biggest consumer
3182,Meat - Frequent consumer
7300,Meat - Frequent consumer
10424,Meat - Biggest consumer
8727,Meat - Biggest consumer
2798,Meat - Frequent consumer
1030,Meat - Low consumer
624,Meat - Low consumer
5176,Meat - Low consumer
5552,Meat - Frequent consumer
868,Meat - Low consumer
380,Meat - Biggest consumer
2677,Meat - Frequent consumer
6521,Meat - Biggest consumer
6927,Meat - Frequent consumer
2877,Meat - Frequent consumer
0,Meat - Biggest consumer
1584,Meat - Frequent consumer
7264,Meat - Low consumer
6274,Meat - Biggest consumer
1377,Meat - Frequent consumer
454,Meat - Frequent consumer
1755,Meat - Frequent consumer
2075,Meat - Biggest consumer
4785,Meat - Frequent consumer
9076,Meat - Frequent consumer
7079,Meat - Frequent consumer
4653,Meat - Low consumer
7375,Meat - Frequent consumer
709,Meat - Frequent consumer
460,Meat - Biggest consumer
3726,Meat - Low consumer
6798,Meat - Frequent consumer
5341,Meat - Frequent consumer
1606,Meat - Low consumer
9617,Meat - Low consumer
3233,Meat - Biggest consumer
89,Meat - Frequent consumer
2936,Meat - Low consumer
9449,Meat - Frequent consumer
7297,Meat - Low consumer
11004,Meat - Low consumer
313,Meat - Biggest consumer
9940,Meat - Biggest consumer
10735,Meat - Low consumer
9529,Meat - Biggest consumer
6439,Meat - Frequent consumer
7411,Meat - Low consumer
2176,Meat - Biggest consumer
9265,Meat - Frequent consumer
8867,Meat - Biggest consumer
8932,Meat - Frequent consumer
10236,Meat - Frequent consumer
6340,Meat - Low consumer
10089,Meat - Biggest consumer
