account_id,seniority-group
5524,Old customers
2174,New customers
4141,Discovering customers
6182,New customers
5324,New customers
7446,Discovering customers
965,Old customers
6177,Experienced customers
4855,Experienced customers
5899,New customers
387,Old customers
2125,Discovering customers
8180,Discovering customers
2569,Old customers
2114,Old customers
9736,Old customers
4939,Old customers
6565,Experienced customers
2278,Old customers
9360,Old customers
5376,Old customers
1993,Old customers
4047,New customers
1409,Experienced customers
7892,Old customers
2404,Experienced customers
9422,Experienced customers
1966,Discovering customers
6864,New customers
3033,Experienced customers
5710,Old customers
7373,Old customers
8755,Experienced customers
10738,Discovering customers
4339,New customers
10755,Discovering customers
8595,New customers
2968,Experienced customers
8601,Experienced customers
503,Experienced customers
8430,Old customers
2139,Discovering customers
1371,New customers
9909,Old customers
7286,Experienced customers
6566,Old customers
8614,New customers
4114,Old customers
1331,Old customers
2225,New customers
9381,Experienced customers
6260,Old customers
10383,Experienced customers
7437,New customers
8375,New customers
6853,Experienced customers
3076,Old customers
1012,Experienced customers
6518,Experienced customers
4137,Discovering customers
8082,Experienced customers
1386,New customers
9369,New customers
4477,Discovering customers
1357,Experienced customers
1402,Old customers
6312,Experienced customers
8132,Experienced customers
1050,New customers
5846,Old customers
1859,Old customers
7503,Old customers
10401,Discovering customers
1618,Old customers
3332,Old customers
2261,Experienced customers
5346,Experienced customers
4119,Experienced customers
535,New customers
5268,Discovering customers
273,Discovering customers
4452,New customers
8504,New customers
771,New customers
11178,New customers
2230,New customers
7516,New customers
7247,Old customers
11100,Experienced customers
4646,Discovering customers
3037,Experienced customers
1473,Discovering customers
1016,New customers
4518,Experienced customers
9370,Experienced customers
8908,New customers
8373,Discovering customers
7533,Discovering customers
2683,Experienced customers
3629,Old customers
10991,Old customers
5077,Discovering customers
7431,Old customers
3267,New customers
999,Old customers
9215,Old customers
2286,Discovering customers
1592,New customers
367,Experienced customers
5234,Discovering customers
9862,Discovering customers
9805,Experienced customers
6205,New customers
8442,Discovering customers
7386,Experienced customers
7215,Experienced customers
1491,Experienced customers
11071,Experienced customers
3381,New customers
11051,New customers
8026,Discovering customers
433,Experienced customers
9597,New customers
5290,Discovering customers
1685,Experienced customers
5342,Old customers
9579,Experienced customers
7660,New customers
1461,Discovering customers
821,Old customers
11084,Discovering customers
8690,Experienced customers
2937,Discovering customers
9701,Experienced customers
9949,Old customers
10837,Old customers
3120,Discovering customers
5885,Old customers
4050,New customers
3830,New customers
7987,New customers
7798,Old customers
92,New customers
7055,Old customers
10240,Experienced customers
3025,Experienced customers
9283,Discovering customers
9970,Discovering customers
2730,Discovering customers
2795,Experienced customers
9260,Old customers
8182,New customers
10095,Experienced customers
8475,New customers
4370,Discovering customers
10573,Discovering customers
3712,Discovering customers
6637,Discovering customers
3152,New customers
5610,New customers
6460,Discovering customers
1349,New customers
1880,New customers
641,New customers
8717,Old customers
10314,Old customers
10854,New customers
10492,New customers
6935,Discovering customers
7698,New customers
3559,New customers
10562,Discovering customers
10796,New customers
2563,New customers
3518,Old customers
5823,New customers
3934,Discovering customers
6982,Experienced customers
6431,Experienced customers
9733,Old customers
5602,Experienced customers
7829,Discovering customers
1324,Experienced customers
326,Experienced customers
7224,Discovering customers
6999,New customers
9938,Discovering customers
6422,Experienced customers
3182,New customers
7300,New customers
10424,Discovering customers
8727,Discovering customers
2798,Old customers
1030,Discovering customers
624,Old customers
5176,Discovering customers
5552,Experienced customers
868,New customers
380,Old customers
2677,Experienced customers
6521,New customers
6927,Old customers
2877,Experienced customers
0,Experienced customers
1584,New customers
7264,New customers
6274,Discovering customers
1377,Discovering customers
454,Old customers
1755,New customers
2075,Discovering customers
4785,New customers
9076,Old customers
7079,Old customers
4653,Experienced customers
7375,Old customers
709,Old customers
460,Old customers
3726,New customers
