account_id,sweets-segment
5524,Sweets - Biggest consumer
2174,Sweets - Low consumer
4141,Sweets - Frequent consumer
6182,Sweets - Low consumer
5324,Sweets - Frequent consumer
7446,Sweets - Frequent consumer
965,Sweets - Biggest consumer
6177,Sweets - Low consumer
4855,Sweets - Low consumer
5899,Sweets - Low consumer
387,Sweets - Low consumer
2125,Sweets - Biggest consumer
8180,Sweets - Frequent consumer
2569,Sweets - Low consumer
2114,Sweets - Biggest consumer
9736,Sweets - Frequent consumer
4939,Sweets - Frequent consumer
6565,Sweets - Frequent consumer
2278,Sweets - Frequent consumer
9360,Sweets - Frequent consumer
5376,Sweets - Low consumer
1993,Non consumer
4047,Sweets - Frequent consumer
1409,Sweets - Frequent consumer
7892,Sweets - Frequent consumer
2404,Sweets - Frequent consumer
9422,Sweets - Frequent consumer
1966,Sweets - Biggest consumer
6864,Sweets - Low consumer
3033,Sweets - Frequent consumer
5710,Non consumer
7373,Sweets - Frequent consumer
8755,Sweets - Biggest consumer
10738,Sweets - Low consumer
4339,Sweets - Frequent consumer
10755,Sweets - Frequent consumer
8595,Non consumer
2968,Sweets - Biggest consumer
8601,Sweets - Biggest consumer
503,Non consumer
8430,Sweets - Low consumer
2139,Sweets - Low consumer
1371,Sweets - Frequent consumer
9909,Sweets - Frequent consumer
7286,Sweets - Frequent consumer
6566,Sweets - Frequent consumer
8614,Sweets - Biggest consumer
4114,Sweets - Biggest consumer
1331,Sweets - Low consumer
2225,Sweets - Frequent consumer
9381,Sweets - Frequent consumer
6260,Sweets - Biggest consumer
10383,Sweets - Biggest consumer
7437,Sweets - Low consumer
8375,Non consumer
6853,Sweets - Frequent consumer
3076,Sweets - Frequent consumer
1012,Sweets - Frequent consumer
6518,Sweets - Frequent consumer
4137,Sweets - Biggest consumer
8082,Sweets - Frequent consumer
1386,Non consumer
9369,Sweets - Frequent consumer
4477,Sweets - Biggest consumer
1357,Sweets - Frequent consumer
1402,Sweets - Biggest consumer
6312,Sweets - Frequent consumer
8132,Sweets - Frequent consumer
1050,Sweets - Frequent consumer
5846,Sweets - Low consumer
1859,Sweets - Frequent consumer
7503,Sweets - Biggest consumer
10401,Sweets - Low consumer
1618,Non consumer
3332,Sweets - Frequent consumer
2261,Non consumer
5346,Non consumer
4119,Sweets - Frequent consumer
535,Sweets - Biggest consumer
5268,Sweets - Low consumer
273,Non consumer
4452,Sweets - Low consumer
8504,Sweets - Biggest consumer
771,Non consumer
11178,Sweets - Low consumer
2230,Non consumer
7516,Sweets - Frequent consumer
7247,Non consumer
11100,Sweets - Low consumer
4646,Non consumer
3037,Sweets - Biggest consumer
1473,Sweets - Low consumer
1016,Non consumer
4518,Sweets - Biggest consumer
9370,Sweets - Frequent consumer
8908,Sweets - Frequent consumer
8373,Non consumer
7533,Sweets - Low consumer
2683,Sweets - Biggest consumer
3629,Sweets - Low consumer
10991,Sweets - Frequent consumer
5077,Sweets - Frequent consumer
7431,Sweets - Biggest consumer
3267,Non consumer
999,Sweets - Frequent consumer
9215,Non consumer
2286,Sweets - Low consumer
1592,Sweets - Biggest consumer
367,Sweets - Biggest consumer
5234,Sweets - Frequent consumer
9862,Sweets - Frequent consumer
9805,Sweets - Biggest consumer
6205,Sweets - Low consumer
8442,Sweets - Low consumer
7386,Sweets - Low consumer
7215,Sweets - Biggest consumer
1491,Sweets - Frequent consumer
11071,Non consumer
3381,Non consumer
11051,Sweets - Frequent consumer
8026,Sweets - Biggest consumer
433,Sweets - Frequent consumer
9597,Sweets - Frequent consumer
5290,Non consumer
1685,Sweets - Frequent consumer
5342,Sweets - Frequent consumer
9579,Non consumer
7660,Sweets - Low consumer
1461,Sweets - Low consumer
821,Sweets - Biggest consumer
